year,importer1,importer2,flow1,flow2
2000,All Other Trade,All Other Trade,927.66,608.51
2000,All Other Trade,All Other Trade,736.56,799.46
2000,All Other Trade,All Other Trade,472.0928,1058.505
2000,All Other Trade,All Other Trade,1033.6,479.75
2000,All Other Trade,All Other Trade,589.59,920.6
2000,All Other Trade,All Other Trade,994.61,507.79
2000,All Other Trade,All Other Trade,558.35,940.18
2000,All Other Trade,All Other Trade,3.1,1484.76
2000,All Other Trade,All Other Trade,659.02,826.97
2000,All Other Trade,All Other Trade,1160.79,325
2000,All Other Trade,All Other Trade,647.37,834.16
2000,All Other Trade,All Other Trade,286.24,1192.41
2000,All Other Trade,All Other Trade,1449.8,27.6
2000,All Other Trade,All Other Trade,857.41,617.89
2000,All Other Trade,All Other Trade,155.19,1319.32
2000,All Other Trade,All Other Trade,1153.83,314.9
2000,All Other Trade,All Other Trade,345.7,1120.39
2000,All Other Trade,All Other Trade,1006.07,451.96
2000,All Other Trade,All Other Trade,1037.9,419.24
2000,All Other Trade,All Other Trade,922.35,524.83
2000,All Other Trade,All Other Trade,897.0128,549.6667
2000,All Other Trade,All Other Trade,545.34,899.05
2000,All Other Trade,All Other Trade,298,1139.37
2000,All Other Trade,All Other Trade,535.1,902.02
2000,All Other Trade,All Other Trade,278.4,1157.97
2000,All Other Trade,All Other Trade,1092.16,342.78
2000,All Other Trade,All Other Trade,265.96,1159.13
2000,All Other Trade,All Other Trade,711.72,711.42
2000,All Other Trade,All Other Trade,769.64,650.9
2000,All Other Trade,All Other Trade,1273.19,147.06
2000,All Other Trade,All Other Trade,796.2087,623.9022
2000,All Other Trade,All Other Trade,941.21,474.62
2000,All Other Trade,All Other Trade,618.24,790.56
2000,All Other Trade,All Other Trade,1283.32,102.73
2000,All Other Trade,All Other Trade,1089.51,295.21
2000,All Other Trade,All Other Trade,849.12,535.17
2000,All Other Trade,All Other Trade,551.58,821.32
2000,All Other Trade,All Other Trade,599.1531,763.199
2000,All Other Trade,All Other Trade,580.24,780.12
2000,All Other Trade,All Other Trade,1087.64,270.08
